,0,1,2,3,4,5,6,7,8,9,10,11
133,1609459200000,37.450,39.135,36.999,37.835,2804530,1609545599999,736809.38124521,37183,1271140,333723.02330641,0
134,1609545600000,37.852,39.069,36.750,38.284,3117778,1609631999999,821300.69052475,48257,1273453,335448.01167582,0
135,1609632000000,38.286,42.007,38.020,41.555,5549501,1609718399999,1390728.45582579,86089,2628479,657949.06536286,0
136,1609718400000,41.571,43.578,38.000,41.135,5851120,1609804799999,1444376.82850509,95601,3079154,759919.63765312,0
137,1609804800000,41.145,41.933,38.882,41.933,3275555,1609891199999,812044.50918170,51967,1573194,390052.78845774,0
138,1609891200000,41.933,42.500,40.550,42.340,3354061,1609977599999,808169.99876218,54958,1525946,367207.67743956,0
139,1609977600000,42.338,44.791,41.448,43.667,5360868,1610063999999,1236712.38751725,75184,2488705,573741.09863593,0
140,1610064000000,43.657,43.713,40.204,42.452,3456262,1610150399999,817416.57417051,78368,1607664,380087.91298732,0
141,1610150400000,42.455,44.231,41.481,44.014,2645279,1610236799999,618842.79131153,74637,1280504,299741.99474693,0
142,1610236800000,44.028,45.298,39.800,42.463,4179290,1610323199999,970162.23823071,67365,1926816,446905.68009937,0
143,1610323200000,42.444,42.474,35.200,38.166,7915118,1610409599999,2069645.40786398,143918,3830425,1001549.12943843,0
144,1610409600000,38.175,40.085,37.185,38.256,3178656,1610495999999,825532.37126902,73497,1489414,386771.40091662,0
145,1610496000000,38.258,40.527,37.017,40.179,2920700,1610582399999,760188.62509886,62418,1370427,356459.16782430,0
146,1610582400000,40.190,42.096,39.583,41.907,2550532,1610668799999,624768.27679885,61412,1177911,288418.96807686,0
147,1610668800000,41.895,42.637,38.620,40.894,3671858,1610755199999,900739.79608671,83326,1701223,417210.23697366,0
148,1610755200000,40.887,44.190,40.620,43.130,3150703,1610841599999,739035.62020973,66895,1509081,354059.25613871,0
149,1610841600000,43.100,46.666,40.951,45.867,3756631,1610927999999,857938.73216800,58653,1829785,417962.70600187,0
150,1610928000000,45.839,46.777,44.125,45.483,2760060,1611014399999,608051.70863521,45557,1311531,288651.03684997,0
151,1611014400000,45.486,47.300,41.745,42.555,6299790,1611100799999,1408235.42689491,139540,2829518,632504.58581050,0
152,1611100800000,42.535,42.825,40.150,42.603,3407558,1611187199999,819296.59719541,100740,1601747,385001.45209878,0
153,1611187200000,42.590,42.674,38.077,38.603,3848587,1611273599999,956336.19671925,94796,1762047,436764.73804276,0
154,1611273600000,38.595,41.479,36.800,40.901,2974604,1611359999999,756703.54586032,70897,1459595,370665.85376579,0
155,1611360000000,40.904,41.879,39.568,40.970,2086104,1611446399999,512818.60083355,49586,997183,245038.47563875,0
156,1611446400000,40.966,42.290,40.418,41.872,1449935,1611532799999,350156.90277047,38102,711195,171699.38520014,0
157,1611532800000,41.879,43.462,40.500,41.811,2313270,1611619199999,547174.22262396,59593,1038267,245370.82677640,0
158,1611619200000,41.803,42.541,39.885,41.815,2308507,1611705599999,564737.89439687,63570,1093531,267324.39229031,0
159,1611705600000,41.833,42.062,39.650,40.932,3224403,1611791999999,789588.67782639,79410,1582054,387267.24524842,0
160,1611792000000,40.935,43.043,40.357,42.574,2347216,1611878399999,557068.70098604,59674,1179334,279820.60595723,0
161,1611878400000,42.563,44.150,41.901,42.933,3656130,1611964799999,848333.08242606,86473,1793942,416142.78436028,0
162,1611964800000,42.938,45.177,42.700,44.771,2218619,1612051199999,505863.42327051,50108,1047415,238670.64822211,0
163,1612051200000,44.802,45.735,43.371,44.391,2008140,1612137599999,452783.56334331,48215,967849,218282.59144637,0
164,1612137600000,44.370,52.394,43.465,51.412,6878648,1612223999999,1426067.17972876,109719,3349034,695035.89008866,0
165,1612224000000,51.415,52.948,49.258,50.917,4835385,1612310399999,950758.33973042,83955,2231905,438781.68207953,0
166,1612310400000,50.902,52.810,49.936,52.180,2256751,1612396799999,441658.43682278,41135,1124538,220120.71253051,0
167,1612396800000,52.189,57.209,51.359,56.102,4482744,1612483199999,832256.22715162,68567,2162607,400943.63042543,0
168,1612483200000,56.076,68.824,56.069,67.737,7617478,1612569599999,1231728.98595563,139839,3632038,587518.94863852,0
169,1612569600000,67.712,75.770,61.650,72.802,15198256,1612655999999,2170797.30175122,179402,7316441,1043810.93117407,0
170,1612656000000,72.728,74.660,63.500,68.457,11605023,1612742399999,1675688.90668585,130055,5547142,800612.18079180,0
171,1612742400000,68.441,80.463,67.691,80.264,10008086,1612828799999,1365697.89654505,140740,4990775,680148.21507447,0
172,1612828800000,80.336,116.481,78.339,107.646,23450106,1612915199999,2389155.64394508,305086,11480917,1170493.47942876,0
173,1612915200000,107.635,148.500,107.620,129.053,54973215,1613001599999,4260650.74742395,532373,26404224,2046608.84300031,0
174,1613001600000,129.134,133.240,118.208,124.403,19305212,1613087999999,1541292.19862396,215400,9501957,758133.60331755,0
175,1613088000000,124.407,142.494,121.330,136.981,18380837,1613174399999,1387327.56446040,210081,9224613,695967.34235223,0
176,1613174400000,137.041,139.193,125.010,133.603,11870632,1613260799999,902736.69110697,130444,5797232,440665.35139710,0
177,1613260800000,133.733,140.063,128.723,136.076,15556454,1613347199999,1164784.28306149,199604,7336493,548919.96451265,0
178,1613347200000,136.080,140.210,107.689,130.195,18604914,1613433599999,1448450.13961390,188023,8722557,678649.97670124,0
179,1613433600000,130.240,133.865,126.437,130.284,9789195,1613519999999,751875.66052415,111543,4616905,354715.79785173,0
180,1613520000000,130.305,177.550,127.068,165.553,31199510,1613606399999,2046660.68497343,292834,15224673,998915.13304775,0
181,1613606400000,165.643,201.000,162.929,195.749,46287293,1613692799999,2478703.94591119,354410,22089854,1182339.78265754,0
182,1613692800000,195.754,384.296,195.243,334.408,158135741,1613779199999,5685208.10490398,813919,73249168,2637424.56719323,0
183,1613779200000,334.498,336.854,207.103,251.841,106882299,1613865599999,3829761.95387353,646765,49984895,1783850.69423256,0
184,1613865600000,252.014,310.177,248.420,295.170,84861298,1613951999999,3013327.87335292,490307,40172089,1424714.14764779,0
185,1613952000000,295.536,296.340,220.000,268.003,92132758,1614038399999,3520586.77607284,595198,42376443,1615980.27163696,0
186,1614038400000,268.068,271.000,180.800,231.572,119253642,1614124799999,5378633.12399635,948530,57247611,2583185.61963249,0
187,1614124800000,231.507,281.519,213.075,254.253,88118100,1614211199999,3515765.66407548,723296,42199592,1683447.77169855,0
188,1614211200000,254.277,266.017,230.403,234.273,52090909,1614297599999,2084263.61798479,427543,24761493,990373.62803764,0
189,1614297600000,234.410,235.928,208.651,214.462,24172758,1614383999999,1077040.37717357,234354,11780079,524860.45913803,0
